     peaks (eV)      intensity
       -4.64791      0.0209162
       -4.63291      0.0214864
       -4.61791      0.0220839
       -4.60291      0.0227106
       -4.58791      0.0233681
       -4.57291      0.0240584
       -4.55791      0.0247833
       -4.54291      0.0255448
       -4.52791      0.0263448
       -4.51291      0.0271854
       -4.49791      0.0280682
       -4.48291      0.0289952
       -4.46791      0.0299679
       -4.45291      0.0309878
       -4.43791      0.0320559
       -4.42291      0.0331734
       -4.40791      0.0343409
       -4.39291      0.0355589
       -4.37791       0.036828
       -4.36291      0.0381488
       -4.34791      0.0395219
       -4.33291      0.0409487
       -4.31791      0.0424308
       -4.30291      0.0439707
       -4.28791      0.0455712
       -4.27291      0.0472359
       -4.25791      0.0489683
       -4.24291      0.0507717
       -4.22791      0.0526489
       -4.21291       0.054601
       -4.19791      0.0566273
       -4.18291      0.0587246
       -4.16791      0.0608869
       -4.15291      0.0631049
       -4.13791      0.0653663
       -4.12291      0.0676563
       -4.10791      0.0699584
       -4.09291      0.0722555
       -4.07791      0.0745318
       -4.06291      0.0767746
       -4.04791       0.078976
       -4.03291      0.0811343
       -4.01791      0.0832555
       -4.00291      0.0853536
       -3.98791        0.08745
       -3.97291      0.0895728
       -3.95791      0.0917555
       -3.94291      0.0940352
       -3.92791      0.0964509
       -3.91291      0.0990416
       -3.89791       0.101846
       -3.88291       0.104899
       -3.86791       0.108233
       -3.85291       0.111878
       -3.83791       0.115858
       -3.82291       0.120191
       -3.80791       0.124891
       -3.79291       0.129965
       -3.77791       0.135412
       -3.76291       0.141222
       -3.74791       0.147375
       -3.73291       0.153841
       -3.71791       0.160577
       -3.70291       0.167529
       -3.68791       0.174628
       -3.67291       0.181791
       -3.65791       0.188925
       -3.64291       0.195924
       -3.62791       0.202669
       -3.61291       0.209036
       -3.59791       0.214893
       -3.58291       0.220104
       -3.56791       0.224539
       -3.55291       0.228074
       -3.53791       0.230599
       -3.52291       0.232031
       -3.50791       0.232312
       -3.49291       0.231425
       -3.47791       0.229388
       -3.46291       0.226258
       -3.44791       0.222129
       -3.43291       0.217121
       -3.41791       0.211374
       -3.40291       0.205041
       -3.38791       0.198273
       -3.37291       0.191215
       -3.35791       0.184002
       -3.34291       0.176751
       -3.32791       0.169561
       -3.31291       0.162516
       -3.29791        0.15568
       -3.28291       0.149102
       -3.26791       0.142819
       -3.25291       0.136857
       -3.23791       0.131234
       -3.22291       0.125958
       -3.20791       0.121034
       -3.19291       0.116459
       -3.17791        0.11223
       -3.16291       0.108338
       -3.14791       0.104772
       -3.13291        0.10152
       -3.11791      0.0985683
       -3.10291      0.0959014
       -3.08791      0.0935038
       -3.07291      0.0913596
       -3.05791      0.0894525
       -3.04291      0.0877661
