     peaks (eV)      intensity
       -4.64791      0.0226149
       -4.63291      0.0233705
       -4.61791        0.02417
       -4.60291      0.0250164
       -4.58791       0.025913
       -4.57291       0.026863
       -4.55791      0.0278697
       -4.54291      0.0289362
       -4.52791       0.030066
       -4.51291      0.0312619
       -4.49791      0.0325266
       -4.48291      0.0338626
       -4.46791      0.0352713
       -4.45291       0.036754
       -4.43791      0.0383106
       -4.42291      0.0399404
       -4.40791      0.0416416
       -4.39291      0.0434114
       -4.37791      0.0452461
       -4.36291      0.0471414
       -4.34791      0.0490927
       -4.33291      0.0510953
       -4.31791      0.0531446
       -4.30291      0.0552368
       -4.28791      0.0573686
       -4.27291      0.0595372
       -4.25791      0.0617402
       -4.24291      0.0639752
       -4.22791      0.0662387
       -4.21291      0.0685253
       -4.19791      0.0708267
       -4.18291      0.0731301
       -4.16791       0.075418
       -4.15291      0.0776669
       -4.13791      0.0798478
       -4.12291      0.0819272
       -4.10791      0.0838682
       -4.09291      0.0856336
       -4.07791      0.0871887
       -4.06291      0.0885046
       -4.04791      0.0895615
       -4.03291      0.0903509
       -4.01791      0.0908768
       -4.00291       0.091156
       -3.98791      0.0912166
       -3.97291      0.0910955
       -3.95791      0.0908352
       -3.94291      0.0904804
       -3.92791      0.0900747
       -3.91291      0.0896579
       -3.89791      0.0892642
       -3.88291      0.0889209
       -3.86791      0.0886481
       -3.85291      0.0884591
       -3.83791      0.0883607
       -3.82291      0.0883543
       -3.80791      0.0884358
       -3.79291      0.0885967
       -3.77791      0.0888236
       -3.76291      0.0890987
       -3.74791      0.0893996
       -3.73291      0.0896993
       -3.71791      0.0899675
       -3.70291      0.0901714
       -3.68791       0.090278
       -3.67291      0.0902564
       -3.65791      0.0900808
       -3.64291      0.0897332
       -3.62791      0.0892052
       -3.61291      0.0884996
       -3.59791        0.08763
       -3.58291      0.0866199
       -3.56791      0.0855006
       -3.55291      0.0843084
       -3.53791      0.0830817
       -3.52291      0.0818584
       -3.50791       0.080674
       -3.49291      0.0795594
       -3.47791      0.0785402
       -3.46291      0.0776361
       -3.44791      0.0768608
       -3.43291      0.0762217
       -3.41791      0.0757207
       -3.40291       0.075354
       -3.38791       0.075113
       -3.37291      0.0749844
       -3.35791      0.0749509
       -3.34291       0.074992
       -3.32791      0.0750851
       -3.31291      0.0752063
       -3.29791      0.0753324
       -3.28291      0.0754422
       -3.26791      0.0755184
       -3.25291      0.0755487
       -3.23791      0.0755275
       -3.22291      0.0754557
       -3.20791      0.0753409
       -3.19291       0.075196
       -3.17791       0.075038
       -3.16291      0.0748863
       -3.14791      0.0747609
       -3.13291      0.0746805
       -3.11791      0.0746618
       -3.10291      0.0747183
       -3.08791      0.0748599
       -3.07291      0.0750926
       -3.05791      0.0754188
       -3.04291      0.0758376
       -3.02791      0.0763448
       -3.01291      0.0769336
       -2.99791      0.0775952
       -2.98291      0.0783191
       -2.96791      0.0790942
       -2.95291      0.0799094
       -2.93791      0.0807543
       -2.92291      0.0816202
       -2.90791      0.0825006
       -2.89291      0.0833911
       -2.87791      0.0842897
       -2.86291      0.0851961
       -2.84791      0.0861107
       -2.83291      0.0870342
       -2.81791      0.0879665
       -2.80291      0.0889065
       -2.78791      0.0898523
       -2.77291      0.0908012
       -2.75791      0.0917512
       -2.74291      0.0927017
       -2.72791       0.093655
       -2.71291      0.0946169
       -2.69791       0.095597
       -2.68291      0.0966091
       -2.66791      0.0976707
       -2.65291      0.0988018
       -2.63791       0.100024
       -2.62291       0.101361
       -2.60791       0.102834
       -2.59291       0.104466
       -2.57791       0.106278
       -2.56291        0.10829
       -2.54791        0.11052
       -2.53291       0.112986
       -2.51791       0.115705
       -2.50291       0.118693
       -2.48791       0.121966
       -2.47291       0.125539
       -2.45791        0.12943
       -2.44291       0.133653
       -2.42791       0.138228
       -2.41291       0.143173
       -2.39791       0.148509
       -2.38291        0.15426
       -2.36791        0.16045
       -2.35291       0.167109
       -2.33791       0.174267
       -2.32291        0.18196
       -2.30791       0.190223
       -2.29291       0.199096
       -2.27791       0.208617
       -2.26291       0.218826
       -2.24791       0.229758
       -2.23291       0.241449
       -2.21791       0.253925
       -2.20291       0.267206
       -2.18791       0.281303
       -2.17291        0.29621
       -2.15791       0.311907
       -2.14291       0.328351
       -2.12791       0.345476
       -2.11291       0.363184
       -2.09791       0.381345
       -2.08291       0.399792
       -2.06791       0.418317
       -2.05291       0.436676
       -2.03791        0.45459
       -2.02291       0.471757
       -2.00791       0.487868
       -1.99291       0.502624
       -1.97791       0.515763
       -1.96291       0.527077
       -1.94791       0.536437
       -1.93291       0.543801
       -1.91791       0.549212
       -1.90291       0.552789
       -1.88791       0.554712
       -1.87291        0.55519
       -1.85791       0.554441
       -1.84291       0.552666
       -1.82791       0.550035
       -1.81291       0.546674
       -1.79791       0.542669
       -1.78291       0.538068
       -1.76791       0.532888
       -1.75291       0.527126
       -1.73791       0.520767
       -1.72291       0.513786
       -1.70791       0.506157
       -1.69291        0.49785
       -1.67791       0.488836
       -1.66291        0.47909
       -1.64791       0.468597
       -1.63291       0.457357
       -1.61791       0.445398
       -1.60291       0.432775
       -1.58791       0.419576
       -1.57291       0.405918
       -1.55791       0.391941
       -1.54291       0.377799
       -1.52791       0.363647
       -1.51291       0.349634
       -1.49791        0.33589
       -1.48291       0.322522
       -1.46791       0.309613
       -1.45291       0.297217
       -1.43791       0.285364
       -1.42291       0.274066
       -1.40791       0.263314
       -1.39291       0.253093
       -1.37791       0.243379
       -1.36291       0.234147
       -1.34791       0.225373
       -1.33291       0.217033
       -1.31791        0.20911
       -1.30291       0.201585
       -1.28791       0.194443
       -1.27291       0.187665
       -1.25791       0.181233
       -1.24291       0.175127
       -1.22791       0.169324
       -1.21291         0.1638
       -1.19791       0.158534
       -1.18291       0.153503
       -1.16791        0.14869
       -1.15291       0.144082
       -1.13791       0.139672
       -1.12291       0.135455
       -1.10791       0.131431
       -1.09291       0.127604
       -1.07791       0.123977
       -1.06291       0.120556
       -1.04791       0.117341
       -1.03291       0.114333
       -1.01791       0.111529
       -1.00291       0.108922
